Comparison,Metric,Mean,CI_2.5%,CI_97.5%,Supports_FS_Advantage,Interpretation
Fuzzy System vs Phase 1 NN,Delta_R2__FS_minus_reference,0.18512396127762518,-0.013398111856211615,0.5624311714270794,False,Positive values favor the fuzzy system.
Fuzzy System vs Phase 1 NN,Delta_MAPE__FS_minus_reference,18.599642672162357,17.710994736443713,19.586128424549884,False,Negative values favor the fuzzy system.
Fuzzy System vs EA-Optimized NN,Delta_R2__FS_minus_reference,0.13095053359212863,-0.013266227027387523,0.44371295281935713,False,Positive values favor the fuzzy system.
Fuzzy System vs EA-Optimized NN,Delta_MAPE__FS_minus_reference,15.925975812998844,15.030765197243449,16.88091843383432,False,Negative values favor the fuzzy system.
