epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.2630820870399475,-0.27874331217477843,6718.669590238776,402.1928700466919,45.01403991217646,0.6121914404996738,0.4932095054124293,0.33594426756270884
2,0.1068328246474266,-0.04734500463517066,6080.4606055935255,366.54233386347454,39.42763163590814,0.643634941661111,0.47279219687946006,0.32027477713672625
3,0.1001075878739357,-0.011956463576281218,5976.852119967233,356.7967300707499,37.486486665182255,0.6543591402655882,0.4656239182716008,0.31358120742475715
4,0.09627235680818558,0.006996594165669223,5920.616965390524,351.8419816009521,35.265647988260746,0.6602811182337198,0.46161784129039046,0.30972207845338123
5,0.09462974220514297,0.008575175014889802,5915.909081274508,349.97274002861025,36.083415665565596,0.6616035901302906,0.46071846251526705,0.30881845918648904
6,0.09294848889112473,0.008590106523244878,5915.864532370627,349.17740002690635,34.52231989349362,0.6628243677742512,0.4598866821669394,0.30768784470721156
7,0.09152940660715103,0.008681037400744107,5915.593228295553,348.56960239028933,34.31140359830502,0.6649115506218293,0.45846107847517104,0.3063082414667984
8,0.09051115810871124,0.009195094258965142,5914.059238876298,345.68785600659686,34.708181234380994,0.6684534268972255,0.4560316808604954,0.30394312619323144
9,0.08939247578382492,0.009286209070834883,5913.787303008403,345.13206808525086,33.974169404934266,0.6709947356155824,0.45428057451268145,0.30275915737959636
10,0.08840788155794144,0.009114838762490307,5914.29875431805,345.34117621002196,33.36508265495381,0.669535848478169,0.45528665418981157,0.30291003494675117
11,0.08778775483369827,0.009260053171493032,5913.865367635101,343.70849569122316,34.270309584627405,0.6725965519205319,0.45317335530826836,0.30156652736071327
12,0.08682563900947571,0.00934199800636093,5913.620792485197,344.67105621424355,34.32653885139548,0.67150664782298,0.4539270204416505,0.30208089091087087
13,0.08638281375169754,0.009291892255853917,5913.770340896886,344.18173442026773,33.1412669332356,0.6727355323349751,0.4530771606798992,0.3009564346282591
14,0.08542414754629135,0.00897977166950914,5914.701828231624,344.67652216514585,33.251079615150246,0.6704690983243763,0.45464332176596267,0.3019963869596812
15,0.08493281900882721,0.009253116574234777,5913.886070358669,341.4143689921061,32.839648395315365,0.6766922785616922,0.45032989789611483,0.29803160815412166
