epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,1.2526346445083618,-30.644094857511007,37225.388485023825,4497.472334820984,858.4506588263478,-0.7096407259501307,1.0450615785451196,0.7233298905168218
2,0.2977149784564972,-1.998264093474936,11458.501918416245,1065.7408717510066,111.68264103431542,0.06179615743838274,0.774173065522121,0.5651419779577822
3,0.25182026624679565,-0.9832394980041368,9319.239681833233,794.3843338174075,90.61868099604344,0.2447688706020189,0.6945913893732998,0.499434752438662
4,0.22537635266780853,-0.17285785194313652,7166.640008697593,556.9160559758503,72.82264452830978,0.39433373265313865,0.6220225753725389,0.4410284723744706
5,0.20420391857624054,-0.031438924100236854,6720.702298335047,436.69289699240466,59.83658429657619,0.5030058100959137,0.5634626192406244,0.3928182669024519
6,0.1897989958524704,0.0031789563388181508,6606.957280745772,401.7613033529493,52.79325297840216,0.5570466202494525,0.5319471222542694,0.36604478219543685
7,0.18033018708229065,0.0053789966330097805,6599.662289632812,386.8372422623395,49.89082632209968,0.5832927724956258,0.5159468561041755,0.3515172938614413
8,0.17297707498073578,0.005640773448079672,6598.793741583243,380.8645211965183,46.865728161588066,0.6002020245591785,0.5053703393429351,0.34330353323221635
9,0.1664615422487259,0.005978619889660308,6597.672633475597,374.76673492868434,45.496133467529354,0.6117133460754598,0.4980416756120161,0.336688191328905
10,0.16023677587509155,0.006053388541182536,6597.424495773282,371.5421825686005,43.958486652936365,0.6199389554132606,0.4927380866227619,0.33256393962423375
11,0.15542425215244293,0.006162779269412333,6597.061439589102,369.41294607804497,42.883545446863366,0.6262165916727886,0.4886517560477711,0.32940421180190055
12,0.15138348937034607,0.006126134675961792,6597.18306132001,368.644937091586,41.75967743773839,0.6303100440056081,0.48596867907356545,0.32785394479284846
13,0.14770764112472534,0.006278986222326033,6596.675739193062,366.18173107042475,41.984419407886584,0.6340363239612881,0.4835133221207708,0.3250387735379023
14,0.1443190574645996,0.006319576915168712,6596.541010044035,365.58311947223854,41.498150945681914,0.6365918500943262,0.48182217668726984,0.3238630448697832
15,0.14176468551158905,0.006240404488095708,6596.803797630144,365.0375402653241,41.28089300045838,0.6378058319033828,0.48101672878195423,0.3231759557514768
16,0.13885405659675598,0.006287372644950606,6596.647903096904,364.052868561014,40.52838327105554,0.6404796474761069,0.47923794185919844,0.32185289779784115
17,0.13622818887233734,0.0062352935373377605,6596.820761439184,363.6166496608015,39.75454207390613,0.6429815048185934,0.47756755221168334,0.320644830442757
