epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.6068297624588013,-4.135809373321124,13464.680234754429,1140.7443975733438,108.64773797069616,0.10486871434782452,0.749317906321721,0.5436126799302327
2,0.1836642026901245,-1.9539561486201684,10211.595851651144,685.0284200694783,74.65947688724158,0.39469815382164763,0.6161816233914396,0.4362307383363634
3,0.14642271399497986,-0.279004461130671,6719.355609066713,415.687674825236,52.45671244679105,0.5669443403065854,0.5211882332972521,0.3572230100024537
4,0.13048875331878662,-0.13963909032673216,6342.71598530969,385.5489482537842,47.519116067841686,0.6019309044947783,0.499691513638396,0.3397754244222488
5,0.12349815666675568,-0.057329697901823407,6109.375396588717,371.79747717803957,44.392673050933894,0.6210985335110575,0.4875126461818706,0.32978053629221965
6,0.11854173243045807,0.002970477412881034,5932.607348347463,362.4212694057719,42.80806398676088,0.6322753740307576,0.4802684970245368,0.32455516646558735
7,0.11514510959386826,0.00809612763430656,5917.338165164498,358.25858717656456,40.03874996566405,0.6402385170283504,0.4750398850662827,0.3214105190909206
8,0.11276741325855255,0.008852913154081987,5915.080380687538,355.71648240422564,39.22617637021993,0.6441640521281715,0.47244107908772925,0.3189311341153705
9,0.11138924956321716,0.009080336912557607,5914.401719061008,353.38953774587,39.07783303397295,0.6486707427656326,0.4694397939697236,0.3159243196404
10,0.10991165041923523,0.009109078850672692,5914.315943893146,351.7224535733541,37.5557622515556,0.6534262321588327,0.46625187009288754,0.31357943979031544
11,0.10856293886899948,0.009383334920946673,5913.497413182155,350.83851834299725,37.90838179963478,0.6567410826454365,0.46401674898862694,0.31144930317545155
12,0.1072794646024704,0.009379298773255718,5913.509460084584,348.7160836094157,36.957203419964074,0.6596979353482989,0.46201389256020076,0.30929677069253814
13,0.1061163917183876,0.00923953916611775,5913.926592802384,348.2766999852498,36.06897242591977,0.6621819528719541,0.4603245807580775,0.3083644309486846
14,0.10532330721616745,0.009112389269850252,5914.306064459974,347.9333625076803,35.426390939197205,0.6632043401753558,0.4596274797084505,0.30755567970782816
