epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,1.2879652976989746,-34.646179383450544,35473.014007935235,3838.778834938558,940.1427800990923,-0.5202226904643983,0.9765092196353972,0.6654070485804763
2,0.3826054334640503,-3.452934693875804,12537.610081575545,1027.8715733148194,104.91257650798269,0.11841101521037956,0.7436281478864561,0.544154067369224
3,0.341635137796402,-2.545064084264639,11186.742499155958,818.7906978101603,88.48320248228886,0.26808987110838345,0.6775660255074706,0.48940956585785683
4,0.31272992491722107,-1.7508451131152212,9854.274715456015,663.020511699117,75.32175506831972,0.38877446764546475,0.6191893622791732,0.4394230654828086
5,0.2884902060031891,-0.869526834827028,8123.7667965876735,527.1240795611573,62.9608337199249,0.4761409920967721,0.5732313723504187,0.4031200066842939
6,0.2697948217391968,-0.3890820683244851,7002.539201764144,454.03472069274903,56.595824304283774,0.5257700343545848,0.5454026442098208,0.3798594467105912
7,0.25503063201904297,-0.2712683502844433,6699.003638710504,422.4021673050944,53.8618810657563,0.5515713391767207,0.5303583660209171,0.36632448416367164
8,0.24226167798042297,-0.24053890424557212,6617.543283389166,408.79433360727944,51.61398695788593,0.5684045453181541,0.5203088032870475,0.3579019049977207
9,0.2309645116329193,-0.18598142695220177,6470.3912186601165,398.3216877541097,49.81183928815558,0.5805909795258508,0.5129105430406404,0.3516060606087685
10,0.2211359143257141,-0.13580865928017083,6332.047789769968,390.15952010945637,48.5042555014692,0.592103539823224,0.505821996006166,0.3453537404460125
11,0.21201084554195404,-0.07535532841262893,6161.232419612472,380.7549819304403,46.89757575547965,0.601567818667445,0.4999193504084007,0.34019605108959816
12,0.20369338989257812,-0.052259750236927305,6094.710418581146,376.4365578418986,45.5532709916069,0.610891121655619,0.49403567712066343,0.33563644561214545
13,0.1952381432056427,-0.03536535287851228,6045.586092760871,370.5911813232422,44.32346653717639,0.6184269661541992,0.48922831008957385,0.3317787532915061
14,0.18876393139362335,-0.02160233605027062,6005.269953674731,368.1738208143107,43.128761554816805,0.6238834089327232,0.48571776548698475,0.3295668297707896
15,0.18196998536586761,-0.012073132316650081,5977.196646503772,367.0615872791545,42.59278865666409,0.6289059227487042,0.4824638234998068,0.32683289798725806
16,0.175989031791687,0.00018968414231335107,5940.874840497134,363.2581821232096,41.585823744573666,0.6319034941556418,0.4805112833975592,0.3255221921675543
17,0.17034980654716492,0.0029288137138653303,5932.73130244269,361.82198900421145,40.928738203642325,0.634809708617608,0.4786106457631554,0.32419391496868266
18,0.1657666116952896,0.005377924022124114,5925.440525697589,360.38321971954343,41.069706783181445,0.6366467764133121,0.477405316985276,0.32285546948622723
19,0.16119477152824402,0.0053990455227145295,5925.377609911267,359.89770513793945,40.52791296512383,0.6395511514247095,0.4754934776202823,0.3214705299937999
20,0.15723273158073425,0.006451723038471191,5922.241094175444,358.8574587517293,40.8847682155786,0.6419859903563221,0.4738847724972878,0.31959852404286815
