epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,1.3831219673156738,-40.505321169130596,38277.49299235253,4806.32750442454,978.1842973958965,-0.7609531765344819,1.050985312812171,0.7221980759392006
2,0.3910406827926636,-7.0595117681224835,16867.31529560182,1989.756632723999,373.08773283117443,-0.266455465963942,0.8912872710105936,0.6202428924342488
3,0.3473872244358063,-3.643390159691835,12802.924505241957,1073.9600471795654,105.8163813400001,0.10788150043826517,0.7480558359538652,0.5471714111875814
4,0.32426491379737854,-3.150442688826586,12104.275695175447,948.8293482405599,95.15025260135091,0.20358654723878533,0.7067926693537022,0.5138068801339553
5,0.3082132935523987,-2.53654678739173,11173.295900813608,830.8983504530843,86.54967858315882,0.2807578487734057,0.6716767390816814,0.48464735499378403
6,0.29373496770858765,-2.0139253446450307,10314.729459708484,722.3536654199219,78.06012853979712,0.34935239671013085,0.6388452352032606,0.45902843284729944
7,0.27967584133148193,-1.443847252307597,9288.137267408509,626.5693430428059,70.56601846479047,0.41486015665897935,0.6058325152177072,0.4312819666960032
8,0.26732775568962097,-0.7431780736354274,7844.449536671818,526.4776596410115,63.50099168629109,0.4743059523101365,0.5742344884417546,0.40402081212659485
9,0.2563340961933136,-0.3790716524528859,6977.261689679947,459.64977384847003,57.94015988914013,0.5187612760609224,0.5494181801669986,0.38286992345495124
10,0.24700607359409332,-0.2783503666606537,6717.637219668582,426.4680466416423,53.821338450510225,0.5488996468633915,0.5319359303469198,0.36862524393433854
11,0.2394130825996399,-0.25337689332450886,6651.696699213062,411.9724009305827,51.889132001788376,0.5679231505485463,0.520598894539192,0.3583239716663774
12,0.2324686348438263,-0.1788132989572475,6450.807907490968,397.4999818384806,49.007678243328805,0.5821385203995614,0.5119633965292512,0.3518551968868581
13,0.22634419798851013,-0.14197162323251944,6349.203579267148,390.34437288716634,47.70043249933526,0.5933616353209368,0.5050413275093703,0.34565383290363716
14,0.22030377388000488,-0.10606901216187281,6248.59977536678,384.76068506317137,46.19619465236513,0.6031042970735445,0.49895449706965334,0.34072767666892384
15,0.21522215008735657,-0.07437159261811721,6158.413624977285,378.8773116557821,44.69848946413063,0.6110969314282314,0.4939050057012532,0.33682851857213325
16,0.21070928871631622,-0.04847200479191671,6083.731179068541,374.1972348350016,43.84751545053743,0.6177563629529574,0.48965802343600223,0.33313273769942375
17,0.20577435195446014,-0.04765800380746432,6081.369110889398,374.8217155333455,42.30793341396001,0.6212444497973716,0.4874187657259244,0.33263693361040525
18,0.20194397866725922,-0.038040592981130716,6053.391530879575,370.2009927215576,42.03713842266831,0.6268891498114986,0.48377306233187045,0.3290809346202072
19,0.19839590787887573,-0.026803076594875908,6020.536267266554,369.72302803110756,40.84217108684759,0.6276459779987741,0.483282164054916,0.32960093105464794
20,0.19504736363887787,-0.019871523009841185,6000.1806907940145,367.0535840052287,41.11434994311626,0.6322168014674043,0.4803067449890271,0.3264377964222698
