epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.6511995792388916,-2.4865092942589606,12356.296287104304,1181.7963866052241,112.64718261154346,0.06443923060299617,0.7730818105560733,0.557843524040407
2,0.24990880489349365,-0.06668741569011538,6834.574559442796,485.5016209230438,63.067654983887756,0.4775074960375698,0.5777360741700733,0.40266209394157676
3,0.19280536472797394,0.004498487693382569,6602.582887580684,381.21779929705696,44.76982919356835,0.6086974014541042,0.49997215740371215,0.33973703895098734
4,0.17239855229854584,0.005663691650648062,6598.71769594548,371.2101216383136,41.94056617983764,0.6283018265897103,0.4872868228073558,0.3288024108486765
5,0.15879608690738678,0.005903295491181848,6597.922606121094,366.7379747935149,40.19793376468106,0.6377988654713491,0.4810213546905556,0.3237483166808977
6,0.1487884223461151,0.0060152537208274515,6597.55105648685,364.8544756696432,39.00747570343125,0.6426384713828948,0.4777969273115804,0.3212551814811096
7,0.14026209712028503,0.006284310220186606,6596.658067867773,361.48605493153474,38.52668605945387,0.6488261822796226,0.47364234038134523,0.3172716739440397
8,0.13281601667404175,0.006458521025275332,6596.079804136597,358.84063300290984,38.335430031203444,0.6541101573071431,0.470065478991639,0.31387156800505345
9,0.1264929622411728,0.006291118252066852,6596.635470692438,358.5836430848168,36.92670256164368,0.6560545179598116,0.46874242064681165,0.31307556626305966
10,0.12054655700922012,0.006323143448922153,6596.529171827877,355.7837252031467,36.34874995426286,0.6621859433156709,0.4645455587237673,0.30828899002121773
11,0.11529520899057388,0.006387626257655765,6596.315133618628,353.6933164254771,36.02734703562774,0.6675205705513283,0.46086300176304246,0.3048472756138046
