epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.8037598133087158,-4.435738685268504,13852.267880842604,1443.6358349976604,179.7268478049617,-0.1539859506893455,0.8507912280710015,0.6078316655526064
2,0.26073604822158813,-3.1242468784535466,12066.016738237477,933.1820471685791,93.08886262930966,0.21842398474073244,0.7001778285420241,0.5081497161910441
3,0.2332155406475067,-2.090669517799403,10445.226952125677,741.4030102659099,78.2490777857056,0.3387757466562431,0.6440167015309709,0.4656455135484905
4,0.21207565069198608,-1.0517091371555978,8510.39058541256,567.7457547064209,64.61928597809813,0.45909423437005326,0.5824833934064423,0.4128706905063209
5,0.1917545348405838,-0.32111172201677274,6829.066931736284,433.24532566477455,51.68614980647208,0.5656572512087641,0.5219621730701083,0.3598204656836364
6,0.17940500378608704,-0.2187444703125454,6559.1554757277745,399.82220999857583,46.54583311373811,0.6030983908097877,0.49895820956373826,0.3411563676339651
7,0.17227312922477722,-0.1666913351387893,6417.55475038594,387.9680170806376,44.47123977486599,0.6192689990540171,0.4886882118490172,0.3327515894457094
8,0.1676827073097229,-0.07955500186193865,6173.251679495624,378.57542713338216,41.47329988591238,0.6265082489222547,0.4840199361286398,0.3308660916198728
9,0.16424348950386047,-0.05951460340140802,6115.684459472977,373.7410421348572,41.197380635355564,0.633103557476117,0.47972736570674374,0.3262999278704655
10,0.16213224828243256,-0.04396414520697789,6070.6387230726,371.2913383179728,39.61897290375252,0.6352891493336332,0.4782963701661304,0.32615568705267683
11,0.15937140583992004,-0.037455535294655284,6051.685392201832,369.1158662348938,39.70990938803084,0.6389360590133917,0.4758990105605539,0.3236499198655281
12,0.15719200670719147,-0.0336883815596698,6040.688119789606,366.86375386184693,40.314134177648526,0.6408993622121185,0.4746033845917706,0.32230902899580693
13,0.15516851842403412,-0.006764156267515364,5961.49890833138,363.88120097208656,38.91217346987614,0.6421827275105432,0.47375454916705184,0.32141003688940667
14,0.15346865355968475,-0.004333401418516347,5954.2977680837075,362.49349089233397,37.92967689273096,0.6448253831162335,0.47200185248326393,0.3200876434069829
15,0.15105566382408142,-0.0022705896941015435,5948.179825299581,361.59101529576617,37.23363956644784,0.6468676373688651,0.47064289069675885,0.3194289379882473
16,0.14909690618515015,-0.0009609691426186728,5944.292449500603,359.73733940612794,37.83437232245298,0.6514225668153624,0.4675977110590703,0.3155596107176255
17,0.14713698625564575,0.0013317971537482043,5937.480652032458,357.59597956522623,37.2786677175756,0.6531824483341052,0.46641582462941605,0.31448094068470445
18,0.1452488750219345,0.0030240817689466404,5932.4478656721585,358.45448271021525,36.28743918196346,0.6528850532184207,0.4666157569344301,0.31506704234618865
19,0.14341656863689423,0.006248978209502765,5922.8453136872295,355.79185022598267,36.27922529517114,0.6552326985972858,0.4650351467655709,0.31325172017398595
20,0.14125172793865204,0.006760407495199017,5921.3210353156355,353.6562237546794,36.4097426509556,0.6592255693772329,0.46233443713331096,0.31080774554790214
