Model,R2,MAPE,RMSE,MAE,Runtime_sec,Evaluations
Phase 1 NN,-0.1606901954679134,32.51302294434897,3280.165841465935,320.0547231257,,20.0
EA-Optimized NN,-0.24001420321792444,36.19715319538602,3390.4002670025916,354.9504913281759,4375.407808065414,300.0
