split,r2,rmse,mae,mape,r2_log,rmse_log,mae_log
validation,0.009619185842810518,5912.793413900753,351.2780224949646,36.143803783183905,0.6661928867591216,0.4575836901295355,0.30700264487956835
test,-0.18680249075893895,3316.857917739946,332.7009998301188,36.265631898775766,0.6693702833693403,0.45566581001644807,0.3069951744557726
