generation,best_val_r2,mean_val_r2,best_val_mape,mean_val_mape
1,0.007530223060103758,-1.7794993845149303,36.29654340138626,90.70906060318205
2,0.007806100539832106,-0.04081625015769845,32.86532731678259,40.03697030902204
3,0.008888024334148925,-0.007557028658764842,32.86532731678259,39.5746954575132
4,0.008888024334148925,-0.001584191136134855,32.86532731678259,37.05172815306306
5,0.009088029650747509,0.0016205973608484192,32.86532731678259,37.737574942169374
6,0.009260704506310113,0.0066139155875540425,32.86532731678259,36.74606794792056
7,0.009260704506310113,-0.027301957676093214,35.460875387484144,40.13097407979965
8,0.009260704506310113,-0.015029389773660523,33.31157171422958,37.55397072962643
9,0.009260704506310113,0.005006325927656036,34.550482514518926,37.107175808170865
10,0.009260704506310113,0.006340218414190463,33.69009595337678,36.92646214374376
11,0.009260704506310113,0.008309949366323089,34.190554599855744,37.92381202351861
12,0.009260704506310113,0.008281602286900391,34.6854389595091,37.26344216053917
13,0.009260704506310113,0.0088693492138197,33.230290387892616,36.289417708850785
14,0.009260704506310113,0.005468820045650658,36.32687192418419,37.9885199800193
15,0.009260704506310113,-0.004168420589127619,34.26661029877101,37.4023719048107
