generation,best_val_r2,mean_val_r2,best_val_mape,mean_val_mape
1,0.7311432939525304,0.6305683309137026,29.84783968187089,31.8517411788879
2,0.7311432939525304,0.7007204257383753,29.84783968187089,31.295044263977182
3,0.7311432939525304,0.668152305924213,29.84783968187089,32.242447382388164
4,0.7311432939525304,0.7013099969551871,29.659005641612097,31.850020922333254
5,0.7311432939525304,0.7051718561290731,29.518887822373195,31.463137448130297
6,0.7324086845352569,0.7144729752978274,29.653580775759643,30.982895673339677
7,0.7350952528479427,0.6959153938583014,29.777713644314513,31.416832538834694
8,0.7350952528479427,0.7113847670176192,29.043969775007906,31.031063136743974
9,0.7350952528479427,0.7237316110545621,28.804453499320537,30.362312145154355
10,0.7350952528479427,0.7143913850365412,29.149904673088837,30.711313018914833
