epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.3746504485607147,-6.80024257599229,1697.2282435373718,334.51411792669484,42.75735863379088,0.5098321751029161,0.5047623462620972,0.3975944955059874
2,0.17496398091316223,0.5860814827897406,390.9701704495964,242.4897738071077,33.55336036830455,0.6522469813446621,0.42515765648333953,0.3263888412731663
3,0.1589328795671463,0.6439538978423951,362.6096132838434,232.6006881267109,32.945899952765245,0.668421214704364,0.41515274930763035,0.31560500831380145
4,0.15189997851848602,0.6416651548401118,363.77321366020396,236.6780784369516,32.05020905930347,0.6559658361546004,0.42287823787801226,0.3228930568837197
5,0.14723165333271027,0.6493475465696714,359.8525932802581,231.31194858566067,31.674453914053796,0.6717987978005419,0.4130328879984377,0.3133637207407531
6,0.14321325719356537,0.6210749046503071,374.07861377258655,231.73834184950525,32.774443941227204,0.6734171447412599,0.4120133052774402,0.31117121635854567
7,0.13892655074596405,0.6574769262474129,355.6567963413901,227.41871602113568,31.918477811502726,0.6787835038675092,0.4086142145519501,0.30845163495720024
8,0.1345764696598053,0.6177426212841991,375.71984500716786,227.26458268459115,31.160216408069612,0.6808409311978766,0.40730350265515414,0.3066942308736776
9,0.13038316369056702,0.6308751274516625,369.209486113059,227.22120104523384,31.399954945988807,0.6807052427517758,0.40739007470022415,0.30660618514924315
10,0.12748640775680542,0.6645349327343637,351.9734031085406,224.96669305960557,32.287931499350236,0.6846747990537687,0.40484976433971115,0.304010833480533
11,0.12396050244569778,0.6713777040291294,348.36515511526846,222.87747998542835,31.29595779754064,0.6858058477876092,0.40412302862696453,0.3034015701610954
12,0.12136678397655487,0.6564347159564905,356.1974717977327,226.3983130344298,30.31957724103335,0.6814763146032894,0.40689786978700043,0.3058041015730837
13,0.11907341331243515,0.6424551741248683,363.371987776792,231.17131869523146,30.030911055047117,0.675079302518359,0.4109634878993687,0.3101156724830012
14,0.11718666553497314,0.6759626837844077,345.9264014769465,220.58994336500308,30.94208034748685,0.6924868882847204,0.39980329511870794,0.2993851582250936
15,0.11510714888572693,0.6575181103810689,355.63541404852066,221.40643732498924,31.76157219213376,0.6940070357752502,0.3988138853851952,0.2985816245424213
16,0.11301559209823608,0.6365159962521396,366.3775442919332,220.37347171848265,31.139874411568023,0.6978847567727804,0.3962788274691838,0.29581635149519436
17,0.1110294833779335,0.6726731822724612,347.6778232816049,218.7771383675549,30.614260444922515,0.6976928890794787,0.39640464210162807,0.29622956442881576
