epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.6994370818138123,-137.93169414343836,7162.866577013342,723.0957286049264,69.32264258409097,0.13681300889316883,0.6698336999609025,0.5236916394366394
2,0.2821047008037567,-19.764329297316305,2769.1415088444314,437.87950356391474,51.662657279844616,0.37218308254741395,0.5712563719484777,0.45199567713194005
3,0.2530158758163452,-4.907827012435359,1477.0666106158342,366.6421263043234,46.8830859026731,0.4619892179989792,0.5288226398980932,0.4173422402271496
4,0.23516613245010376,0.0937240274054062,578.5174041779827,295.70266435224863,39.45740097173021,0.5522598447282094,0.4824225200676233,0.38004671551589037
5,0.21958108246326447,0.5123985443932983,424.3446123226382,258.6115308605774,36.42512011387142,0.6212523444539095,0.4437001002530258,0.34276808070393955
6,0.20965133607387543,0.5644498033426684,401.05626311887227,254.6645606425331,34.15323771358324,0.6318959665489121,0.43742121073246504,0.3390559344165853
7,0.20088432729244232,0.592278006915675,388.03264587271724,247.54575871108386,33.693823583179004,0.6468316085990691,0.42845524517338274,0.3301769200919548
8,0.19347746670246124,0.5965455791263679,385.99656079148053,244.3962022016116,34.197550114092536,0.6569437931884232,0.42227676990637414,0.3231650221191183
9,0.18511420488357544,0.6156780816157993,376.7330942329653,244.49032145809508,32.991790887639276,0.6501118158949499,0.42646086987206294,0.3282396330619561
10,0.17950224876403809,0.6267151546936116,371.2841204669591,240.00422719504095,33.802834472887305,0.6594512579312932,0.4207306879244262,0.32149354263389557
11,0.17437753081321716,0.6304287056994438,369.4326806924233,240.49271622711467,32.930026404854566,0.6568282385364639,0.4223478835253664,0.3236325310430567
12,0.16690309345722198,0.6296789817568795,369.8072122153752,239.40115523671116,34.10725445486353,0.6641010044175861,0.41784855326561565,0.31872054041752856
13,0.16257169842720032,0.6478144966087247,360.638371814967,236.61934621575745,32.85466450093413,0.6610639281355082,0.4197333196656646,0.3208998746405313
14,0.15925349295139313,0.6633099760585115,352.61543612315006,232.73485188726937,33.09907496025415,0.6654326810948563,0.41701944722604917,0.31778390097547027
15,0.15621638298034668,0.6542867585034554,357.3092035905633,235.28009850439543,32.43005072846793,0.660997782685061,0.4197742744317428,0.32074103982432406
16,0.15347304940223694,0.6691829562278481,349.52652081687285,230.92201887487082,32.36785647880683,0.6668861660872614,0.4161126173850759,0.3167838535504175
17,0.1507405936717987,0.6676237434410995,350.3492498448917,230.81195879713064,32.288431989668545,0.6671266916856784,0.41596236272822434,0.3167829177958
18,0.14810940623283386,0.6864406991267697,340.28753399631466,225.97997202724073,33.04842716750592,0.6761942366889793,0.41025779112493144,0.3105678554913942
19,0.1453818529844284,0.6778468432688673,344.9192169505521,227.18912046422815,32.13997082046738,0.6735804259968292,0.41191029549056885,0.3124294005634097
20,0.1435108482837677,0.6779023929174086,344.8894780408053,227.28713683695335,32.20195056064149,0.6742867999315982,0.4114643659244639,0.3119322918239592
