epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,1.382027268409729,-4825.9491248691775,42220.42070943079,5743.844532731954,626.2227459305915,-1.1377352720517773,1.054123539826243,0.7225892335461468
2,0.38652223348617554,-851.2180144391172,17740.32414869837,2236.2537273669313,260.9827651649158,-0.4706641575865178,0.8743217944219349,0.6193077257887943
3,0.3409082889556885,-240.6500592079481,9446.689670951762,947.2331758023604,84.97372248366273,0.0363277348669695,0.7077489442968289,0.5398755470569119
4,0.31587669253349304,-168.35679575146727,7908.379650481802,762.2858766085798,73.82843864506316,0.1746896577198257,0.6549726931698905,0.5001062720983062
5,0.29836195707321167,-77.52164841001829,5384.940387579005,579.7254576521674,62.64142050244853,0.29415045139075446,0.6057181969231491,0.4651720572454145
6,0.2814072072505951,-30.66213836665806,3419.450466975557,450.4452648013588,54.25261604261179,0.3976595609834256,0.5595456976626196,0.43087980378608026
7,0.26728108525276184,-12.137423462521365,2202.6287078143273,352.7198519043087,46.76455216304688,0.48805736517062503,0.5158520964596381,0.39919058683017816
8,0.254550039768219,-3.132712049462895,1235.3891110459822,299.79691941542063,42.29821448889165,0.5485012362744204,0.48444316515633645,0.3744724213053136
9,0.24436192214488983,0.025956841429623734,599.756959262542,272.4448662934208,39.31478150505914,0.5836271799129424,0.465217171219514,0.3592094720369623
10,0.23649181425571442,0.3951049450705867,472.6353630888141,258.681856783585,37.82641725893433,0.6063654796929004,0.4523359851156873,0.34796016198417484
11,0.22980976104736328,0.538839589661466,412.67884303360984,251.060138587232,36.77262596279332,0.6217784345892254,0.44339183780247704,0.3403362063676495
12,0.2228362113237381,0.5866130509270626,390.71904124880655,244.27283457877573,35.62896445484082,0.6343886748194827,0.4359376414638221,0.33394716835685806
13,0.21697744727134705,0.6251978244427921,372.0379540439972,238.86898500657875,34.92176102711893,0.6451541320443007,0.4294715765040766,0.32811329554699264
14,0.21131180226802826,0.6456788957646995,361.7301481183693,234.55909414607052,34.42828996496948,0.6540594525030554,0.4240482589545152,0.3230837372262412
15,0.20650304853916168,0.6520793888321244,358.4480933256117,232.80572542151484,33.64870589755722,0.6595755297499337,0.42065391515731865,0.3204947848778868
16,0.2020876109600067,0.6569824785633913,355.9134071733175,230.68693956904272,33.40929299311783,0.6659523001429429,0.41669548335157863,0.31675950278202686
17,0.19776850938796997,0.6643210895465714,352.0855684737204,229.1755061721897,33.05173828780462,0.6695381733930477,0.414452916171274,0.31467138139872497
18,0.1937076449394226,0.6721850822325279,347.9369501448529,227.48306674079623,33.06304587753558,0.6732858578983802,0.41209611196804724,0.3123298779609772
19,0.1900421679019928,0.6738545247798977,347.049860915153,227.22848660607772,32.8174223323759,0.6751906748777814,0.4108930493332364,0.3111971121023357
20,0.18665078282356262,0.6776318453921768,345.0342934742242,225.81296381059195,32.74955287577844,0.6775151968516359,0.40942011605382866,0.30963095536078056
