epoch,train_loss,val_r2,val_rmse,val_mae,val_mape,val_r2_log,val_rmse_log,val_mae_log
1,0.4129754602909088,-75.9401398321853,5330.435363150129,544.8053721212117,58.92025883963047,0.35686743305851787,0.5781823117125425,0.4402152102862794
2,0.1367996633052826,0.5053025250479235,427.42118363545006,235.88000916424562,33.207729917653104,0.664349388294574,0.4176940335458911,0.3175357610627273
3,0.11602601408958435,0.6225380869552105,373.35568116969466,225.94702007858808,32.94501884438701,0.6840662759968141,0.40524022103612223,0.3047575450324981
4,0.10906960070133209,0.673900307568791,347.0255014354621,221.13585762472792,31.689678933829445,0.6889306059424343,0.40210844284934966,0.3013512768448456
5,0.10480204224586487,0.6927540395764107,336.8443650909594,216.36594922351009,30.964717686646797,0.6956446621492196,0.39774525899059987,0.29659798214461597
6,0.10052798688411713,0.7027586679852795,331.31476854891366,214.56102924935325,31.187004580430834,0.6995936302337116,0.3951564896972166,0.2938686622043214
7,0.09750356525182724,0.687910132311312,339.48925278993744,215.41170715065869,30.12916004765468,0.7007854315267914,0.3943718591278285,0.29296141109814894
8,0.0948171317577362,0.7070939089553216,328.8897944047779,211.72429800060246,30.28644126539877,0.7039885226838571,0.3922553046093015,0.2906402938808157
9,0.09257276356220245,0.7075233206296164,328.64862339227665,214.74416296589447,32.26634802618974,0.7009739215364887,0.3942476224195952,0.2934752025292076
10,0.09096834063529968,0.702733372075001,331.3288660674206,212.7112863456278,31.198277197388887,0.7053767458452362,0.39133443180459426,0.290258915955506
11,0.08945614099502563,0.7244847426954124,318.9767456063466,209.64460987410217,31.310921131937974,0.7069641650992797,0.3902787601434216,0.28904070892241485
12,0.08796297758817673,0.683323257948923,341.9749383899783,215.16559069379065,30.748602770832957,0.7071883741089509,0.3901294255771934,0.28929356420759483
13,0.0867943987250328,0.7153135942992748,324.24221718564075,208.9734901017306,29.984534634184733,0.7104393589697369,0.3879576454813938,0.28625136463042766
14,0.08540163189172745,0.7161620269089513,323.75869753919585,209.78807631887943,30.513716403971696,0.7104217483523501,0.3879694427853285,0.2869032164389632
