trial_id,epoch,train_loss,val_rmse_log
2,1,0.5540923615993772,0.4946063246754639
2,2,0.21095043136119843,0.47067276335685765
2,3,0.19807865374156408,0.46413521906583655
2,4,0.19119796008586884,0.4626500527162458
2,5,0.18714432887758528,0.4564732698593482
2,6,0.18323486630099162,0.45562498462885026
2,7,0.1798267321402686,0.45542276093063033
2,8,0.17726318373816355,0.4530208458261685
2,9,0.17504838389805386,0.45327992433134934
2,10,0.17232538150038038,0.4511581365812959
2,11,0.17090569459506444,0.45447639695220265
2,12,0.1693747026831763,0.44972334063953084
2,13,0.16772125416755676,0.449061122513966
2,14,0.16664044509410858,0.44989782302752696
2,15,0.16585079595361438,0.44921132726825025
2,16,0.1649767481640407,0.44928088672959077
