trial_id,epoch,train_loss,val_rmse_log
13,1,0.6492565274238586,0.7569468021392822
13,2,0.19672521948814392,0.6369239091873169
13,3,0.16327475011348724,0.5188421010971069
13,4,0.14066383242607117,0.48878049850463867
13,5,0.13270266354084015,0.48001882433891296
13,6,0.12852153182029724,0.47492173314094543
13,7,0.12582848966121674,0.47111213207244873
13,8,0.1237606331706047,0.4666826128959656
13,9,0.12141484022140503,0.46718600392341614
13,10,0.11936916410923004,0.4654688537120819
13,11,0.1176907941699028,0.46368899941444397
13,12,0.11616851389408112,0.4620324373245239
13,13,0.11448781192302704,0.4601101875305176
13,14,0.11325587332248688,0.4595533609390259
13,15,0.11194229125976562,0.4572382867336273
13,16,0.11044798791408539,0.45574334263801575
13,17,0.10945889353752136,0.4557916224002838
13,18,0.10810887068510056,0.45719948410987854
13,19,0.10695499926805496,0.45426586270332336
13,20,0.10571429878473282,0.45387783646583557
