trial_id,epoch,train_loss,val_rmse_log
17,1,0.8660134673118591,0.8251652717590332
17,2,0.21015682816505432,0.7047927379608154
17,3,0.18303357064723969,0.6338747143745422
17,4,0.16107377409934998,0.5506750345230103
17,5,0.14152298867702484,0.5049415826797485
17,6,0.13230197131633759,0.49214404821395874
17,7,0.1271478682756424,0.48501214385032654
17,8,0.12350313365459442,0.48009538650512695
17,9,0.12144753336906433,0.47789058089256287
17,10,0.11945341527462006,0.4739416837692261
17,11,0.11788925528526306,0.4722829759120941
17,12,0.11656397581100464,0.47143781185150146
17,13,0.11505112797021866,0.46871617436408997
17,14,0.11396346986293793,0.46666496992111206
17,15,0.11304743587970734,0.4676261246204376
17,16,0.11194904148578644,0.4663344919681549
17,17,0.11103322356939316,0.4631502330303192
17,18,0.11023209989070892,0.46328964829444885
17,19,0.10878706723451614,0.46198612451553345
17,20,0.10764376074075699,0.4610835015773773
